,x,y
0,10.608960947,20.4748289252
1,42.3445948911,86.5286502056
2,92.7191663179,121.38009046
3,62.7515726422,97.2178930831
4,55.1255494713,67.2871042807
5,87.2375393942,120.309581449
6,88.9144769238,116.278634461
7,55.5155675182,71.6711634749
8,96.4076449035,112.407105137
9,73.4436339534,89.4860384803
10,32.4852763426,64.3232395614
11,58.0647794431,61.0705095546
12,78.859741722,107.574046182
13,73.2342719193,85.6865054628
14,73.4235417672,112.230067834
15,11.9694068501,34.1912876359
16,10.6223780682,37.9982605262
17,16.1203594034,33.1099123848
18,44.2044309305,84.2757772062
19,62.9070167762,103.351136887
20,6.75562930932,16.9120628547
21,70.542662795,93.819068748
22,70.4118374491,113.779447904
23,94.0517597357,132.82913167
24,30.4959484202,71.9064366535
25,90.5951405234,113.886901623
26,86.6598115201,132.173757865
27,50.564674614,51.6984346328
28,94.0081604907,112.058827645
29,7.23553537742,9.6913429947
30,73.4136384281,108.904217861
31,11.5305229474,39.4481693565
32,36.8587658123,53.060173653
33,96.2395785478,99.8343220275
34,62.3579041643,94.7559869037
35,57.7457853907,96.8210936273
36,88.1349847845,134.688833382
37,35.3428457406,56.1749499873
38,97.7576783134,110.349088806
39,13.1451124643,21.5905660921
40,41.4886838483,54.1321973378
41,61.891340164,91.2611456075
42,40.6790025828,67.5676418245
43,30.5015188014,65.7310279914
44,32.5418083465,70.2055186203
45,54.1542578475,89.8176488103
46,53.2454573434,102.522355002
47,76.898649036,81.8379665914
48,3.75520137912,42.2457984961
49,73.7152692487,73.9745930064
50,83.62084848,104.732545985
51,34.5410221184,43.0476458587
52,81.2145940276,99.2901469063
53,94.2949287507,119.260849783
54,2.66880382487,40.566570533
55,4.26292353029,39.8937315861
56,73.4930580229,112.227437435
57,62.9058620158,73.0879019314
58,80.8784121739,96.0419646494
59,42.1259957256,46.9050288607
